LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION DATE
-100.9958791,29.8961309,1,4326,4/19/2008
-101.3531685,29.7054992,1,4326,4/20/2008
-101.3531685,29.7054992,1,4326,4/20/2008
-100.89637,29.36273,1,4326,4/20/2008
-97.3647237,26.234302,1,4326,4/21/2008
-100.4007483,29.3059206,1,4326,4/21/2008
-110.8875847,31.7780881,1,4326,4/23/2008
-97.8553963,31.2013493,1,4326,4/23/2008
-100.9096575,29.510784,1,4326,4/23/2008
-97.9236102,28.0582906,1,4326,4/24/2008
-99.7121051,29.4950424,1,4326,4/24/2008
-101.8228497,37.1357125,1,4326,4/25/2008
-101.9189644,36.9967947,1,4326,4/25/2008
-97.4183462,26.0057269,1,4326,4/25/2008
-97.8553963,31.2013493,1,4326,4/25/2008
-99.1261541,26.5651323,1,4326,4/25/2008
-103.9694595,33.4189769,1,4326,4/26/2008
-103.9694595,33.4189769,1,4326,4/26/2008
-103.9694595,33.4189769,1,4326,4/26/2008
-103.298049,29.2722493,1,4326,4/26/2008
-100.8989525,35.0083465,1,4326,4/26/2008
-101.7298096,35.541581,1,4326,4/26/2008
-99.8152971,32.4384744,1,4326,4/26/2008
-97.3597466,30.7001608,1,4326,4/26/2008
-97.9388827,29.229508,1,4326,4/26/2008
-101.7614651,37.0959565,1,4326,4/27/2008
-99.874649,29.279811,1,4326,4/27/2008
-97.3647237,26.234302,1,4326,4/28/2008
-98.0584717,26.5332512,1,4326,4/28/2008
-98.62564,33.5957,1,4326,4/29/2008
-99.1261541,26.5651323,1,4326,4/29/2008
-99.1261541,26.5651323,1,4326,4/29/2008
-99.1365051,26.5277222,1,4326,4/29/2008
-102.1510476,39.6272825,1,4326,4/30/2008
-98.62564,33.5957,1,4326,4/30/2008
-98.151621,30.887271,1,4326,4/30/2008
-97.8553963,31.2013493,1,4326,4/30/2008
-100.6192167,30.5941,1,4326,4/30/2008
-100.5643167,30.5819667,1,4326,4/30/2008
-106.41854,32.0351,1,4326,5/1/2008
-97.6535761,29.074897,1,4326,5/1/2008
-103.8592529,30.5480698,1,4326,5/1/2008
-100.8128333,30.5539667,1,4326,5/1/2008
-101.3185787,29.6935703,1,4326,5/1/2008
-97.4975252,26.5038367,1,4326,5/1/2008
-97.4294186,26.5651149,1,4326,5/1/2008
-106.011,33.345,1,4326,5/2/2008
-97.1975899,25.9603598,1,4326,5/2/2008
-97.3920822,26.0557034,1,4326,5/2/2008
-97.8553963,31.2013493,1,4326,5/2/2008
-97.6535761,29.074897,1,4326,5/2/2008
-103.9113522,30.8057728,1,4326,5/2/2008
-99.2780828,30.6217746,1,4326,5/2/2008
-101.6732311,35.5516416,1,4326,5/2/2008
-104.6349907,29.99605,1,4326,5/2/2008
-103.7864685,30.9448014,1,4326,5/2/2008
